TaxonId	matchedType	inputName	matchedName	matchedCanonicalForm	inputRank	matchedRank	synonymStatus	acceptedName	matchedEditDistance	matchedScore	matchTaxonID
142638	Exact string match	Hypechiniscus	Hypechiniscus	Hypechiniscus	genus	genus		Hypechiniscus	0	0.75	33573307
142649	Exact string match	Proechiniscus	Proechiniscus	Proechiniscus	genus	genus		Proechiniscus	0	0.75	33622795
142650	Exact string match	Pseudechiniscus	Pseudechiniscus	Pseudechiniscus	genus	genus		Pseudechiniscus	0	0.75	33591335
142655	Exact string match	Testechiniscus	Testechiniscus	Testechiniscus	genus	genus		Testechiniscus	0	0.75	33591375
142815	Exact string match	Testechiniscus spitsbergensis (Scourfield, 1897)	Testechiniscus spitsbergensis (Scourfield, 1897)	Testechiniscus spitsbergensis	species	species	synonym	Testechiniscus spitzbergensis (Scourfield, 1897)	0	0.999	a444e66ccbe5f77af22717dd4a47a4e9
142705	Exact string match	Pseudechiniscus facettalis Petersen, 1951	Pseudechiniscus facettalis Petersen, 1951	Pseudechiniscus facettalis	species	species		Pseudechiniscus facettalis Petersen, 1951	0	0.999	8931cdb69c1c093f93ae9bb3a3845a63
142714	Exact string match	Pseudechiniscus hanneae Petersen, 1951	Pseudechiniscus hanneae Petersen, 1951	Pseudechiniscus hanneae	species	species	synonym	Proechiniscus hanneae (Petersen, 1951)	0	0.999	6ca394a9100c3f59ef90e9892cf86f8b
142813	Exact string match	Pseudechiniscus suillus (Ehrenberg, 1853)	Pseudechiniscus suillus (Ehrenberg, 1853)	Pseudechiniscus suillus	species	species		Pseudechiniscus suillus (Ehrenberg, 1853)	0	0.999	e6660a8f5ebe64218a17385699c0b5cd
142814	Exact string match	Pseudechiniscus victor (Ehrenberg, 1853)	Pseudechiniscus victor (Ehrenberg, 1853)	Pseudechiniscus victor	species	species		Pseudechiniscus victor (Ehrenberg, 1853)	0	0.999	c0152b0d185a1858267d862c7563a5cf
142871	Exact string match	Pseudechiniscus islandicus (Richters, 1904)	Pseudechiniscus islandicus (Richters, 1904)	Pseudechiniscus islandicus	species	species		Pseudechiniscus islandicus (Richters, 1904)	0	0.999	e8c59400e6a78ef3d0b3067f5181fe65
142812	Canonical form exact match	Proechiniscus hanneae (Peterson, 1951)	Proechiniscus hanneae (Petersen, 1951)	Proechiniscus hanneae	species	species		Proechiniscus hanneae (Petersen, 1951)	0	0.997	74401ba7f409acdce202b4bdd4010ab8
