TaxonId;kingdom;subkingdom;phylum;subphylum;superclass;class;subclass;cohort;superorder;order;suborder;infraorder;superfamily;family;subfamily;tribe;subtribe;genus;subgenus;section;species;subspecies;variety;form;ScientificNameAuthorship
147945;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Proterospongia;;;dybsoeënsis;;;;Grøntved
147944;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Monosiga;;;mikropelagica;;;;Throndsen
150379;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Monosiga;;;baltica;;;;Willén
150380;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Monosiga;;;ovata;;;;Kent, 1880
151239;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Monosiga;;;micropelagica;;;;Throndsen
151240;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Monosiga;;;marina;;;;Grøntved
118266;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Desmarella;;;moniliformis;;;;Kent
118264;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Codosiga;;;botrytis;;;;(Ehrenberg) Kent
1453;Animalia;;Choanozoa;;;Not_assigned_6336;;;;Not_assigned_6337;;;;;;;;;;;;;;;
1449;Animalia;;Choanozoa;;;Mesomycetozoea;;;;Amoebidiales;;;;;;;;;;;;;;;
1450;Animalia;;Choanozoa;;;Mesomycetozoea;;;;Eccrinales;;;;;;;;;;;;;;;
1451;Animalia;;Choanozoa;;;Mesomycetozoea;;;;Not_assigned_6339;;;;;;;;;;;;;;;
632;Animalia;;Tardigrada;;;Eutardigrada;;;;;;;;;;;;;;;;;;;Richters, 1926
635;Animalia;;Tardigrada;;;Heterotardigrada;;;;;;;;;;;;;;;;;;;Marcus, 1927
638;Animalia;;Tardigrada;;;Mesotardigrada;;;;;;;;;;;;;;;;;;;
639;Animalia;;Tardigrada;;;Mesotardigrada;;;;Thermozodia;;;;;;;;;;;;;;;
636;Animalia;;Tardigrada;;;Heterotardigrada;;;;Arthrotardigrada;;;;;;;;;;;;;;;Marcus, 1927
637;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;;;;;;;;;;;;Richters, 1926
51909;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscoididae;;;;;;;;;;;Kristensen & Hallas, 1980
137920;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;;;;;;;;
142628;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Bryodelphax;;;;;;;Thulin, 1928
142631;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Diploechiniscus;;;;;;;Vicente, Fontoura, Cesari, Rebecchi, Serrano & Bertolani, 2013
142633;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;;;;;Schultze, 1840
142634;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Emydium;;;;;;;Doyère, 1840
142638;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Hypechiniscus;;;;;;;Thulin, 1928
142649;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Proechiniscus;;;;;;;Kristensen, 1987
142650;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Pseudechiniscus;;;;;;;Thulin, 1911
142655;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Testechiniscus;;;;;;;Kristensen, 1987
142815;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Testechiniscus;;;spitsbergensis;;;;(Scourfield, 1897)
142705;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Pseudechiniscus;;;facettalis;;;;Petersen, 1951
142714;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Pseudechiniscus;;;hanneae;;;;Petersen, 1951
142813;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Pseudechiniscus;;;suillus;;;;(Ehrenberg, 1853)
142814;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Pseudechiniscus;;;victor;;;;(Ehrenberg, 1853)
142871;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Pseudechiniscus;;;islandicus;;;;(Richters, 1904)
142812;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Proechiniscus;;;hanneae;;;;(Peterson, 1951)
142708;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Hypechiniscus;;;gladiator;;;;(Murray, 1905)
142888;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Hypechiniscus;;;gladiator;gladiator;;;(Murray, 1905)
142710;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Emydium;;;granulatum;;;;Doyère, 1840
142785;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Emydium;;;spinulosus;;;;Doyère, 1840
142795;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Emydium;;;testudo;;;;Doyère, 1840
142669;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;arctomys;;;;Ehrenberg, 1853
142682;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;blumi;;;;Richters, 1903
142683;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;capillatus;;;;Ramazzotti, 1956
142686;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;columinis;;;;Murray, 1911
142707;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;gladiator;;;;Murray, 1905
142724;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;islandicus;;;;Richters, 1904
142733;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;merokensis;;;;Richters, 1903
142735;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;militaris;;;;Murray, 1911
142746;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;oihonnae;;;;Richters, 1903
142757;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;phocae;;;;Bois-Reymond Marcus, E. du, 1944.
142765;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;quadrispinosus;;;;Richters, 1902
142767;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;reticulatus;;;;Murray, 1905
142779;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;sigismundi;;;;Schultze, 1865
142780;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;sinensis;;;;Pilato, 1974
142784;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;spiculifer;;;;Schaudinn, 1901
142786;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;spitsbergensis;;;;Scourfield, 1897
142792;Animalia;;Tardigrada;;;Heterotardigrada;;;;Echiniscoidea;;;;Echiniscidae;;;;Echiniscus;;;suillus;;;;Ehrenberg, 1853
