TaxonId,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,cohort,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,species,subspecies,variety,form,ScientificNameAuthorship
149940,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOECA,,,BREVIPODA,,,,"Ellis, 1930"
149941,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOECA,,,SPECTABILIS,,,,"Ellis, 1930"
147920,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOCORBIS,,,ASYMMETRICA,,,,"(Thomsen) Hara & Takahashi, 1984"
147921,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOCORBIS,,,CAMPANULA,,,,"(Espeland) Thomsen in Thomsen, Buck & Chavez, 1991"
147922,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOCORBIS,,,UNGUICULATA,,,,"(Thomsen) Hara & Takahashi, 1984"
149938,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOCORBIS,,,APODA,,,,"(Leadbeater) Hara & Takahashi, 1984"
149939,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,ACANTHOCORBIS,,,HAURAKIANA,,,,"Thomsen in Thomsen, Buck & Chavez, 1991"
118268,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,STELEXOMONAS,,,,,,,
118270,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,SALPINGOECA,,,,,,,H.J. Clark
118273,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,AULOMONAS,,,,,,,Lackey
147603,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,BICOSTA,,,,,,,B.Leadb.
147604,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,CALLIACANTHA,,,,,,,B.Leadb.
147605,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,PACHYSOECA,,,,,,,
150385,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,PACHYSOECA,,,RUTTNERI,,,,(Bourr.) Fott
150386,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,PACHYSOECA,,,URNULA,,,,(Skuja) ?
147948,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,SALPINGOECACEAE,,,,CALLIACANTHA,,,NATANS,,,,"(Grøntved) Leadbeater, 1978"
